departamento,fecha,ndvi_medio
Quindio,2022-07-12,0.6157937529072104
Risaralda,2022-07-12,0.681842153609192
Santander,2022-07-12,0.712808112418791
Sucre,2022-07-12,0.5833766390458894
Tolima,2022-07-12,0.6203234124043105
Valle Del Cauca,2022-07-12,0.6006650849779659
Vaupes,2022-07-12,0.6535023998432119
Vichada,2022-07-12,0.5649338933608816
Amazonas,2022-07-28,0.5070515158263149
Antioquia,2022-07-28,0.6835388178460674
Arauca,2022-07-28,0.6575838660590585
Atlantico,2022-07-28,0.7518502987332547
Bolivar,2022-07-28,0.7237403463673151
Boyaca,2022-07-28,0.6262363718972508
Caldas,2022-07-28,0.7285016181631915
Caqueta,2022-07-28,0.7669464295647573
Casanare,2022-07-28,0.6532751131487794
Cauca,2022-07-28,0.7259635506184287
Cesar,2022-07-28,0.7545127213694212
Choco,2022-07-28,0.5453071713932208
Cordoba,2022-07-28,0.6328372310012803
Cundinamarca,2022-07-28,0.6454312058460246
Guainia,2022-07-28,0.6256393897887972
Guajira,2022-07-28,0.4988134515261879
Guaviare,2022-07-28,0.6921462409624204
Huila,2022-07-28,0.7167952793317329
Magdalena,2022-07-28,0.751906012306468
Meta,2022-07-28,0.6796179092606124
Narino,2022-07-28,0.693027455913931
Norte De Santander,2022-07-28,0.7281355841652664
Putumayo,2022-07-28,0.7999416916652216
Quindio,2022-07-28,0.5785950167418505
Risaralda,2022-07-28,0.7116152769973981
Santander,2022-07-28,0.7471032080557177
Sucre,2022-07-28,0.6296181593405301
Tolima,2022-07-28,0.7148468359423459
Valle Del Cauca,2022-07-28,0.6252215024302077
Vaupes,2022-07-28,0.6699273188418446
Vichada,2022-07-28,0.622463834891611
Amazonas,2022-08-13,0.5325367550304323
Antioquia,2022-08-13,0.6241935890207239
Arauca,2022-08-13,0.6450843611796407
Atlantico,2022-08-13,0.7164690810106049
Bolivar,2022-08-13,0.7046092073866256
Boyaca,2022-08-13,0.7361936443419475
Caldas,2022-08-13,0.6851043942492452
Caqueta,2022-08-13,0.7408491130414778
Casanare,2022-08-13,0.6484101168519906
Cauca,2022-08-13,0.73070612576121
Cesar,2022-08-13,0.7436207913178853
Choco,2022-08-13,0.5828751294395228
Cordoba,2022-08-13,0.6791483588690748
Cundinamarca,2022-08-13,0.7321855893281431
Guainia,2022-08-13,0.6691941174213251
Guajira,2022-08-13,0.5273693061192737
